1 00:00:03,710 --> 00:00:04,351 说话者 SPEAKER_02：晚上好。
906 01:26:17,737 --> 01:26:26,711 说话人 SPEAKER_07: 而大型神经网络会使用它们全部，然后说，你知道，300,000 个规则说“是”，150,000 个规则说“否”，所以可能是“是”。
907 01:26:27,492 --> 01:26:29,534 说话人 SPEAKER_07：如果我问你，它是怎么做到的？
908 01:26:30,172 --> 01:26:35,059 说话人 SPEAKER_07：如果你期待得到一些可以计算这个的计算机代码，那是不可能的。
909 01:26:35,238 --> 01:26:37,121 说话人 SPEAKER_07：这个神经网络里有十亿个权重。
910 01:26:37,561 --> 01:26:40,024 说话人 SPEAKER_07：它是这样做到的，那十亿个权重有这些值。
911 01:26:40,164 --> 01:26:41,766 说话人 SPEAKER_07: 这可能就是你能得到的最好结果。
912 01:26:42,207 --> 01:26:48,074 说话人 SPEAKER_07: 对于那样的决定，你只能接受人们有直觉，他们的直觉告诉他们该怎么做。
913 01:26:48,636 --> 01:26:50,056 说话人 SPEAKER_07: 而神经网络也有直觉。
914 01:26:50,497 --> 01:26:57,987 说话人 SPEAKER_07: 它们的工作方式与人类相似，通过拥有大量的权重共同作用，来表示这个比那个更有可能。
915 01:27:00,127 --> 01:27:00,769 说话人 SPEAKER_02: 谢谢。
916 01:27:00,948 --> 01:27:04,859 说话人 SPEAKER_02: 我知道你在等待，所以你就先说吧，然后我们再从那里继续。
917 01:27:04,878 --> 01:27:05,961 说话人 SPEAKER_03: 对不起，我有一个简短的问题。
918 01:27:06,122 --> 01:27:11,996 说话人 SPEAKER_03: 在其他人工智能方面，比如进化计算之类的，你有什么看法吗？
919 01:27:12,036 --> 01:27:16,768 说话人 SPEAKER_03: 对不起，我没听清你说什么。
920 01:27:17,271 --> 01:27:19,917 说话人 SPEAKER_03: 例如，像进化计算这样的领域。
921 01:27:20,557 --> 01:27:21,880 说话人 SPEAKER_03: 你对这些有什么看法吗？
922 01:27:21,920 --> 01:27:23,863 说话人 SPEAKER_03: 因为你说得好像只有符号和神经网络。
923 01:27:24,163 --> 01:27:25,206 说话人 SPEAKER_03：你说的是进化吗？
924 01:27:25,787 --> 01:27:27,309 说话人 SPEAKER_03：就像遗传编程，这类事情。
925 01:27:27,630 --> 01:27:28,912 说话人 SPEAKER_07：哦，是的。
926 01:27:29,613 --> 01:27:31,516 说话人 SPEAKER_07：我认为这对设置超参数很有帮助。
927 01:27:31,537 --> 01:27:40,412 说话人 SPEAKER_07：也就是说，如果你处于一个高维空间并且想要改进，如果你能获得梯度，你将比那些不能获得梯度的人做得更好。
928 01:27:40,431 --> 01:27:42,756 说话人 SPEAKER_07：我认为大脑是一种获取梯度的设备。
929 01:27:43,680 --> 01:27:51,572 说话人 SPEAKER_07：进化无法获得梯度，因为决定基因型和表型之间关系的大部分因素都在你的控制之外。
930 01:27:51,591 --> 01:27:52,393 说话人 SPEAKER_07：这是环境。
931 01:27:53,094 --> 01:27:58,261 说话人 SPEAKER_07：所以进化必须使用诸如突变、随机变化和重组等技术。
932 01:27:59,542 --> 01:28:00,744 说话人 SPEAKER_07：但我们并不局限于这些。
933 01:28:00,824 --> 01:28:02,667 说话人 SPEAKER_07：我们可以制造出能够获取梯度的设备。
934 01:28:03,349 --> 01:28:06,313 说话人 SPEAKER_07：显然，如果你能够获取梯度，
935 01:28:06,917 --> 01:28:09,180 说话人 SPEAKER_07：您也可以用进化来让那个设备变得更好。
936 01:28:09,881 --> 01:28:21,878 说话人 SPEAKER_07：现在看看神经网络中发生的事情，您使用梯度来训练神经网络，但现在您使用更类似于进化技术的手段来调整超参数。
937 01:28:21,899 --> 01:28:25,264 说话人 SPEAKER_02：我想我们还有时间回答那边的一个问题。
938 01:28:26,408 --> 01:28:26,828 说话人 SPEAKER_05：谢谢。
939 01:28:27,170 --> 01:28:38,961 说话人 SPEAKER_05：所以杨谈到了在自动驾驶汽车中应用 CN 或其它类型的神经网络进行感知，听起来不是很积极。
940 01:28:39,001 --> 01:28:41,127 说话人 SPEAKER_05：那么你能对此发表更多评论吗？
941 01:28:41,849 --> 01:28:52,265 说话人 SPEAKER_01：嗯，已经有很多人宣称，可能更多的是营销导向而非科学导向，完全自动驾驶就在眼前。
942 01:28:53,207 --> 01:28:57,835 说话人 SPEAKER_01：而这比大多数人想象的要困难得多。
943 01：28：58,074 --> 01：29：02,743 演讲者 SPEAKER_01：当然，很多业内人士都知道这很困难，而且不仅仅是指日可待。
我认为在人工智能的许多领域以及人工智能整体上，都存在一个类似的故事，许多人对何时达到人类水平的人工智能抱有非常乐观的期望，例如。
945 01：29：17,740 --> 01：29：19,685 议长 SPEAKER_01：在我看来，这不仅仅是指日可待。
946 01：29：19,666 --> 01：29：27,255 演讲者 SPEAKER_01：当然，在这种情况发生之前，需要弄清楚一些事情，比如如何正确地进行自我监督。
947 01:29:27,695 --> 01:29:29,578 说话人 SPEAKER_01: 但这并非唯一的障碍。
948 01:29:29,677 --> 01:29:31,740 说话人 SPEAKER_01: 这只是我们看到的第一个山峰。
949 01:29:32,081 --> 01:29:34,743 说话人 SPEAKER_01: 而可能还有一大堆我们尚未弄清楚的山峰。
950 01:29:35,145 --> 01:29:39,289 说话人 SPEAKER_01: 所以我认为对于自动驾驶来说，情况也大致如此。
951 01:29:39,550 --> 01:29:47,579 说话人 SPEAKER_01：自动驾驶，很容易在早期获得令人印象深刻的成果，一辆车似乎可以很好地自动驾驶大约半小时。
952 01:29:47,560 --> 01:29:54,872 说话人 SPEAKER_01：但要达到与人类相同水平的可靠性，即每行驶 100 英里或每行驶 1 亿英里发生一次致命事故，我感到抱歉。
953 01:30:01,443 --> 01:30:04,167 说话人 SPEAKER_01：你知道，10 的 6 次方在法国之间是什么？
954 01:30:06,612 --> 01:30:09,355 说话人 SPEAKER_01：那么达到那个水平真的很困难。
955 01:30:09,516 --> 01:30:18,511 说话人 SPEAKER_01：如果你尝试通过观察数据量增加时性能如何提高来推断你需要多少数据才能达到那个水平，这基本上是不切实际的。
956 01:30:18,591 --> 01:30:21,095 说话人 SPEAKER_01：所以我们必须找到训练这些系统的新方法。
957 01:30:21,114 --> 01:30:22,997 说话人 SPEAKER_01：我认为自监督学习是部分答案。
958 01:30:24,560 --> 01:30:24,920 说话人 SPEAKER_01：我们拭目以待。
959 01:30:26,682 --> 01:30:28,185 说话人 SPEAKER_01：这是一个难题。
960 01:30:28,206 --> 01:30:29,768 说话人 SPEAKER_01：你可能会过度设计。
961 01:30:29,747 --> 01:30:32,850 说话人 SPEAKER_01：你可以添加使处理更简单的传感器。
962 01:30:33,011 --> 01:30:35,274 说话人 SPEAKER_01：你可以做详细的地图。
963 01:30:35,514 --> 01:30:38,457 说话人 SPEAKER_01: 你可以在某些条件下做各种事情，使其变得实用。
964 01:30:39,759 --> 01:30:44,104 说话人 SPEAKER_01: 但完全的五级自动驾驶是困难的。
965 01:30:44,123 --> 01:30:44,743 说话人 SPEAKER_05: 非常感谢。
966 01:30:44,804 --> 01:30:46,046 说话人 SPEAKER_02: 好的。
967 01:30:46,065 --> 01:30:48,908 说话人 SPEAKER_02：这样，我知道你们中的许多人都有其他会议活动要参加。
968 01:30:48,948 --> 01:30:50,409 说话人 SPEAKER_02：现在我们已经完成了最后一个问题。
969 01:30:50,831 --> 01:30:57,137 说话人 SPEAKER_02：所以，我再次非常感谢 Jan 和 Jeff 为我们带来一场难忘的图灵讲座。
970 01:30:57,158 --> 01:30:57,358 说话人 SPEAKER_02：谢谢。
971 01:31:05,623 --> 01:31:10,106 说话人 SPEAKER_02：享受剩下的会议，包括今晚的活动。
972 01:31:11,837 --> 01:31:14,047 说话人 SPEAKER_02：谢谢。
