1 00:00:05,498 --> 00:00:06,259 演讲者 演讲者_00: 下午好。
931 01:20:24,948 --> 01:20:34,779 说话人 SPEAKER_07：当然，您现在在这里是为了接受诺贝尔奖的荣誉，我们正在祝贺这一伟大的成就。
932 01:20:35,578 --> 01:20:38,282 说话人 SPEAKER_07：诺贝尔本人是一位发明家。
933 01:20:38,261 --> 01:20:41,769 说话人 SPEAKER_07：正如您所知，他通过炸药的专利发了财。
934 01:20:42,310 --> 01:20:47,179 说话人 SPEAKER_07：炸药确实为人类做出了巨大贡献，但也夺走了许多人的生命。
935 01:20:48,581 --> 01:20:56,536 讲者 SPEAKER_07：来自观众的类似反思有奥本海默的例子，涉及第二想法和想要阻止它。
936 01:20:56,595 --> 01:21:00,524 讲者 SPEAKER_07：所以，当然，我想问你的问题是关于遗憾的。
937 01:21:00,963 --> 01:21:01,805 讲者 SPEAKER_07：你有没有遗憾？
938 01:21:02,494 --> 01:21:04,838 讲者 SPEAKER_09：好的，我想区分两种遗憾。
939 01:21:05,399 --> 01:21:10,328 说话人 SPEAKER_09：有一种罪恶的悔恨，当时你知道你不应该这样做，但你还是做了。
940 01:21:11,872 --> 01:21:17,081 说话人 SPEAKER_09：然后，你做了某事，在同样的情况下，同样的知识，你还会这样做。
941 01:21:17,161 --> 01:21:23,813 说话人 SPEAKER_09：但后来你意识到这带来了不良后果，而你当时并没有意识到这些后果。
942 01:21:24,414 --> 01:21:26,899 说话人 SPEAKER_09：我没有感到任何内疚的遗憾。
943 01:21:27,637 --> 01:21:33,489 说话人 SPEAKER_09：但我确实在想，如果我们没有发展得这么快，可能更好。
944 01:21:34,332 --> 01:21:39,622 说话人 SPEAKER_09：我认为如果我没有参与这项工作，我可能已经使事情慢下来几周。
945 01:21:42,421 --> 01:21:48,226 说话人 SPEAKER_07：非常感谢你的回答。
946 01:21:48,407 --> 01:21:49,627 说话人 SPEAKER_07：圣诞节即将来临。
947 01:21:49,747 --> 01:21:54,993 说话人 SPEAKER_07：我觉得我们正在进入那种氛围，你知道圣诞节是一个愿望清单的时间。
948 01:21:55,014 --> 01:22:01,340 说话人 SPEAKER_07：所以我想我们用一个快速的环节来结束这次活动，每个人都可以分享一个愿望，我先从 Kia 开始。
949 01:22:01,479 --> 01:22:07,145 说话人 SPEAKER_07：你可以将这个愿望指向研发社区、政府或者任何你想去的地方。
950 01:22:07,345 --> 01:22:13,440 说话人 SPEAKER_06：房间里的研究资助机构？
951 01:22:14,644 --> 01:22:22,704 说话人 SPEAKER_06：我希望的是跨学科合作，因为显然正如我们刚才所听到的，这是一个非常
952 01:22:22,685 --> 01:22:39,579 说话人 SPEAKER_06：困难的问题，并且非常哲学化，这是关于什么让我们和地球上的生活变得美好，而这并不是轻易就能解决的，所以我更希望有更多的跨学科合作。
953 01:22:39,560 --> 01:22:41,904 说话人 SPEAKER_08：我完全同意这个愿望。
我认为，仅仅在考虑如何使人工智能更安全这样的问题时，你同样需要跨学科。
955 01:22:49,502 --> 01:22:55,898 说话人 SPEAKER_08：我们尝试了一些事情，这些事情对于试图让 AI 安全的人来说是有意义的。
956 01:22:55,877 --> 01:23:02,266 说话人 SPEAKER_08：但可能还有其他好的、有效的或实际上非常有用的方法。
957 01:23:02,787 --> 01:23:07,635 说话人 SPEAKER_08：我认为即使我们看技术解决方案，我们可能也只是在看少数几种。
958 01:23:07,675 --> 01:23:10,559 演讲者 SPEAKER_08：我们需要更多的方法多样性。
959 01:23:10,779 --> 01:23:18,630 演讲者 SPEAKER_08：还有很多东西可以被发现，也许会有很多有趣和美好的发现，即使它们不一定能实现安全性的主要目标。
960 01:23:18,670 --> 01:23:22,055 演讲者 SPEAKER_08：我们可能会发现关于我们自己或我们的机器的其它惊人的事情。
961 01:23:24,417 --> 01:23:24,618 演讲者 SPEAKER_04：谢谢。
962 01:23:24,637 --> 01:23:25,800 讲者 SPEAKER_04：我讨厌这种问题。
963 01:23:27,046 --> 01:23:33,438 讲者 SPEAKER_04：那么也许我应该选择国际化而不是跨学科。
964 01:23:33,939 --> 01:23:48,766 讲者 SPEAKER_04：我认为，你知道，正如你所说，有些事情国家不会合作，但我们可以至少在国际上尽可能多地合作，努力以正确的方式推动这项技术的进化，并建立我们需要的障碍。
965 01:23:52,003 --> 01:23:57,311 讲者 SPEAKER_09：我希望我能得到这个问题的答案，大脑是否实现了某种形式的反向传播？
966 01:24:01,497 --> 01:24:03,742 说话人 SPEAKER_07: 我认为我们需要给这个小组一个热烈的欢迎。
967 01:24:03,782 --> 01:24:20,948 说话人 SPEAKER_07: 请坐，我们现在将进入一个小结环节。
968 01:24:22,109 --> 01:24:30,577 说话人 SPEAKER_07: 另一位 IWA 会员，林雪平市立大学的计算机科学教授，Fridrik Heinz，将给我们简要介绍我们都听到了什么。
969 01:24:30,636 --> 01:24:42,149 说话人 SPEAKER_01: 好的，现在我有一个小任务，就是尝试总结一下我们所学的内容。
970 01:24:42,208 --> 01:24:51,238 讲者 SPEAKER_01：所以之前在今天的会议中，我们讨论了在什么情况下你感到舒适，在什么情况下你感到不舒服，以及接受不舒服，我现在就是这样。
971 01:24:52,568 --> 01:25:05,005 讲者 SPEAKER_01：但我想今天我们一直在尝试讨论这个大问题，即什么是智能，我们是否能够构建出真正具有智能的人工系统。
972 01:25:05,886 --> 01:25:13,817 讲者 SPEAKER_01：实际上，我认为我们提出了一个非常有趣的观点，即数字智能可能优于模拟智能。
973 01:25:13,796 --> 01:25:24,069 讲者 SPEAKER_01：我认为这是一个非常有趣的观点，也许你所使用的实现它的基础材料会影响所能达到的效果。
974 01:25:24,329 --> 01:25:26,773 讲者 SPEAKER_01: 并且在某种程度上，它是我们的模拟。
975 01:25:26,853 --> 01:25:30,697 讲者 SPEAKER_01: 可能是身体限制了。
976 01:25:30,716 --> 01:25:31,137 讲者 SPEAKER_01: 你在这里。
977 01:25:31,637 --> 01:25:33,680 讲者 SPEAKER_01: 我在这里的观众席上找不到你的身体。
978 01:25:35,103 --> 01:25:43,752 演讲者 SPEAKER_01: 但也许这是部分原因，或者说，是我们潜在的一部分，我意思是限制。
979 01:25:43,733 --> 01:25:45,194 演讲者 SPEAKER_01: 或者说，我应该说是我们的一个限制。
980 01:25:46,256 --> 01:25:52,905 演讲者 SPEAKER_01: 但我认为这也非常有趣，这是智能推理或学习的本质吗？
981 01:25:53,627 --> 01:26:04,442 演讲者 SPEAKER_01: 个人而言，因为我的实验室叫做推理与学习实验室，当然，我认为它既不是也不是，而是两者结合，以及我们如何将学习与推理结合起来。
我认为这也很有趣，从某种意义上说，这是身体、具身化的作用。但我认为，也许更有趣的是“我”的作用。我们谈论了主观经验，对我来说，这里的大问题实际上也是我没有举手的原因。
983 01：26：22,332 --> 01：26：26,920 演讲者 SPEAKER_01：他们甚至有主题吗，有主题意味着什么？
984 01：26：27,422 --> 01：26：36,221 议长 SPEAKER_01：我是说，我不质疑他们有，我是说，有一些感知，他们可能会被欺骗等等，但是要有个主题需要什么呢？
985 01:26:37,384 --> 01:26:45,161 说话者 SPEAKER_01：也许正是缺乏主题，使得数字在主观上可能优于模拟。
986 01:26:45,863 --> 01:26:46,444 说话人 SPEAKER_01: 我不知道。
但是我认为，我们也讨论了通过共享知识的好处，这些数字系统的其中一个好处是它能够共享知识，并且还能压缩知识，通过压缩，你正在在事实和信息之间创建新的联系，而且这种压缩本身可能会提高
988 01：27：11,804 --> 01：27：16,832 演讲者 SPEAKER_01：我们的理解并建立这些新的和令人惊讶的联系。
989 01：27：16,913 --> 01：27：20,159 演讲者 SPEAKER_01：我想这也是我觉得非常有趣的事情。
990 01：27：21,421 --> 01：27：24,627 演讲者 SPEAKER_01：当然，我们谈到了风险和道德等等。
991 01:27:25,128 --> 01:27:32,563 说话人 SPEAKER_01：通过创建 AI 模型训练数据来探讨伦理问题。
992 01:27:32,542 --> 01:27:37,029 说话人 SPEAKER_01：我认为这也是一个值得深入思考的有趣话题。
993 01:27:37,310 --> 01:27:49,810 说话人 SPEAKER_01：并且结合提供反馈强化，希望推动这些模型更加合理，更符合我们的喜好。
994 01:27:50,988 --> 01:28:03,929 说话人 SPEAKER_01：所以我想以结束，实际上，当我自我介绍时，我说我是计算机科学教授，得到的回应是，我一生从未上过计算机科学课程，但我获得了图灵奖。
995 01:28:03,948 --> 01:28:11,780 讲者 SPEAKER_01: 然后他说我不做物理学研究，但我获得了诺贝尔物理学奖。
996 01:28:11,761 --> 01:28:18,069 讲者 SPEAKER_01: 所以我想我们都有希望，也许有一天我们也能取得伟大成就。
997 01:28:19,372 --> 01:28:29,386 讲者 SPEAKER_01: 但我认为 AI 是一个如此广泛的领域，它触及、连接、利用并影响着许多其他研究领域，这也是很有趣的。
998 01:28:29,988 --> 01:28:35,195 讲者 SPEAKER_01: 回到这一点，我指的是诺贝尔奖，我认为这是一个非常有趣的问题。
999 01:28:35,655 --> 01:28:40,923 讲者 SPEAKER_01：什么时候每一个诺贝尔奖都将被你说成是由 AI 支持的？
1000 01:28:40,904 --> 01:28:49,939 讲者 SPEAKER_01：或者什么时候一个个人能够通过使用 AI 获得每一个诺贝尔奖？
1001 01:28:50,560 --> 01:28:53,826 讲者 SPEAKER_01：或者 AI 本身能够获得诺贝尔奖吗？
1002 01:28:54,226 --> 01:28:56,010 讲者 SPEAKER_01：我想这更值得怀疑。
1003 01:28:56,176 --> 01:29:09,451 说话人 SPEAKER_01: 但真正要得出结论，你提到这一点时非常不确定，我认为这可能是我们都能达成共识的事情之一，那就是未来有很多不确定性。
1004 01:29:09,771 --> 01:29:11,913 说话人 SPEAKER_01: 我们根本不知道会发生什么。
1005 01:29:12,073 --> 01:29:16,279 说话人 SPEAKER_01: 当然，作为一个科学家，作为一个研究人员，我把这看作是一个挑战。
1006 01:29:16,779 --> 01:29:22,126 说话人 SPEAKER_01: 所以我鼓励大家，让我们一起找出解决办法，共同解决这个问题。
1007 01:29:22,166 --> 01:29:23,247 说话人 SPEAKER_01: 谢谢。
1008 01:29:31,090 --> 01:29:35,518 说话人 SPEAKER_07: 在那次上诉之后，很难继续进行，但我们必须要结束。
1009 01:29:35,537 --> 01:29:43,490 说话人 SPEAKER_07: 关于这件事将如何进行，我想简单提一下，因为我们需要引导 Renton 教授离开。
1010 01:29:44,273 --> 01:29:51,685 说话人 SPEAKER_07: 所以在我们结束之前，请大家保持坐姿一会儿，他有一份非常紧凑的日程。
1011 01:29:51,704 --> 01:29:53,108 演讲者 SPEAKER_07：那么请尊重这一点。
1012 01:29:53,127 --> 01:29:55,511 演讲者 SPEAKER_07：非常感谢。
1013 01:29:55,492 --> 01:29:57,314 演讲者 SPEAKER_07：我觉得这非常令人费解。
1014 01:29:57,434 --> 01:29:59,496 演讲者 SPEAKER_07：我们都因此感到很有活力。
1015 01:30:00,356 --> 01:30:03,341 说话人 SPEAKER_07：从某种意义上说，我们正在步入未知。
1016 01:30:04,341 --> 01:30:12,690 说话人 SPEAKER_07：我认为我们需要带上一张图片，我想我会把它发给 Hinton 教授。
1017 01:30:12,730 --> 01:30:19,279 说话人 SPEAKER_07：我们有一个角色，你怎么称呼这些，一个漫画，现在我明白了这个法语词。
1018 01:30:19,738 --> 01:30:23,203 说话人 SPEAKER_07：我们有一个连载角色，一个插画角色，
1019 01:30:23,182 --> 01:30:25,447 说话人 SPEAKER_07: 卡通，非常感谢。
1020 01:30:25,627 --> 01:30:27,529 说话人 SPEAKER_07: 瑞典有一个叫做 Bamse 的卡通。
1021 01:30:28,011 --> 01:30:28,832 说话人 SPEAKER_07: 它是一只泰迪熊。
1022 01:30:29,472 --> 01:30:34,279 说话人 SPEAKER_07: 当它喝了魔法蜂蜜后就会变得非常强壮。
1023 01:30:34,900 --> 01:30:41,591 说话人 SPEAKER_07：他的正常回报是当你真的、真的强大时，你需要非常善良。
1024 01:30:42,212 --> 01:30:47,301 说话人 SPEAKER_07：所以我认为这是我们向前推进时需要构建到模型中的东西。
1025 01:30:48,867 --> 01:30:55,073 说话人 SPEAKER_07：有人告诉我一个小秘密，所以现在就是你们都要出力的惊喜时刻。
1026 01:30:55,555 --> 01:30:57,936 说话人 SPEAKER_07：因为明天，Hinton 教授过生日。
1027 01:30:58,457 --> 01:31:08,269 讲者 SPEAKER_07：我认为我们应该定稿，而不是给他一个温暖的握手，我要求你们举手，我们将进行瑞典式鼓掌。
1028 01:31:08,288 --> 01:31:11,353 讲者 SPEAKER_07：那么，为 Geoffrey Hinton 鼓掌。
1029 01:31:11,533 --> 01:31:11,993 讲者 SPEAKER_07：为他鼓掌。
1030 01:31:12,234 --> 01:31:12,573 讲者 SPEAKER_07：嘿嘿！
